trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",25,0,-136.8530018327133,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.99900049983337502}",20,0,-167.78245746694975,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.99800199866733308}",25,0,-80.17813917253218,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-238.93868754128323,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
5,False,"{'a': 0.001, 'e': 0.99600798934399148}",25,0,-152.3706936417981,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.99501247919268232}",30,0,-312.71212833341264,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 6}",0
7,False,"{'a': 0.001, 'e': 0.99401796405393528}",20,0,-73.43250133714135,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.99302444293323511}",30,0,-182.79167410880837,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.99203191483706066}",30,0,-200.6556707893265,"{0: 12, 1: 7, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.99104037877288365}",20,0,-87.34847918226183,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.99004983374916811}",20,0,-98.04511245592512,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.98906027877536873}",30,0,-200.36927183386905,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.001, 'e': 0.98807171286193052}",20,0,-153.4101074872715,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.001, 'e': 0.98708413502028758}",25,0,-133.36117238292897,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.98609754426286189}",30,0,-182.94044809970458,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.001, 'e': 0.98511193960306265}",20,0,-98.86321238765976,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.98412732005528514}",20,0,-109.94306568418642,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.98314368463490964}",25,0,-193.0383463051287,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.001, 'e': 0.98216103235830077}",35,0,-365.77562379282955,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 6}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-103.1510398101148,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.001, 'e': 0.98019867330675525}",30,0,-220.68581704550283,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
22,False,"{'a': 0.001, 'e': 0.97921896456945956}",20,0,-83.77874935373266,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121005}",20,0,-39.171391534936475,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.001, 'e': 0.97726248377327707}",20,0,-87.13511574907632,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.001, 'e': 0.97628570975790929}",20,0,-167.94239970843813,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.001, 'e': 0.97530991202833262}",25,0,-30.0843068524782,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.001, 'e': 0.97433508960874937}",25,0,-194.97175073325184,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.97336124152433678}",30,0,-161.5001825823991,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.001, 'e': 0.97238836680124685}",30,0,-202.2624203423976,"{0: 16, 1: 4, 2: 4, 3: 4, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.97141646446660479}",20,0,-48.10572130286651,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
31,False,"{'a': 0.001, 'e': 0.97044553354850815}",20,0,-77.75463241029348,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.001, 'e': 0.96947557307602594}",30,0,-151.4696393749991,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-183.79424173151,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
34,False,"{'a': 0.001, 'e': 0.96753855958903201}",25,0,-108.26595871009273,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.96657150463750663}",20,0,-127.44000389940334,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
36,False,"{'a': 0.001, 'e': 0.96560541625756646}",30,0,-42.946390380502024,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.96464029348312308}",20,0,-100.25798345750371,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",20,0,-56.44652327337878,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.001, 'e': 0.96271294089119952}",20,0,-128.39556637373585,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.001, 'e': 0.96175070914636673}",25,0,-134.39996858127597,"{0: 10, 1: 7, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.96078943915232318}",25,0,-222.49253439439923,"{0: 12, 1: 0, 2: 6, 3: 5, 4: 2}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-111.46998580456835,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.95886978057248451}",20,0,-68.42528975494173,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.95791139006703063}",35,0,-235.43259534451064,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
45,False,"{'a': 0.001, 'e': 0.95695395747304668}",25,12,2.3722582534161294,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.001, 'e': 0.95599748183309996}",20,0,-104.44131134995612,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.95504196219071469}",30,0,-97.58392985396968,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
48,False,"{'a': 0.001, 'e': 0.95408739759037109}",20,0,-119.36567596828058,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.95313378707750473}",30,0,-105.13212952400887,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.001, 'e': 0.95218112969850488}",25,1,-117.14213437083444,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 1}",1
51,False,"{'a': 0.001, 'e': 0.95122942450071402}",20,0,-172.76956887266272,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
52,False,"{'a': 0.001, 'e': 0.95027867053242698}",20,0,-74.358882339707,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
53,False,"{'a': 0.001, 'e': 0.94932886684288953}",35,0,-113.30664090200078,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",25,0,-74.35195868362148,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.94743210650179832}",30,1,-173.86233519144008,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 2}",1
56,False,"{'a': 0.001, 'e': 0.94648514795348382}",25,0,-68.27060838040018,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
57,False,"{'a': 0.001, 'e': 0.94553913589039629}",20,12,-63.68074685492063,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.001, 'e': 0.94459406936652335}",30,0,-195.55740818673496,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.94364994743679853}",20,0,-19.260392644080056,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.94270676915709972}",30,17,-52.90291862191666,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.001, 'e': 0.94176453358424872}",25,0,-204.65074531692562,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
62,False,"{'a': 0.001, 'e': 0.94082323977600968}",35,0,-165.85302365650435,"{0: 17, 1: 4, 2: 13, 3: 0, 4: 1}",0
63,False,"{'a': 0.001, 'e': 0.93988288679108889}",30,9,-150.3349293194322,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 2}",1
64,False,"{'a': 0.001, 'e': 0.93894347368913322}",20,0,-68.35219626617102,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.001, 'e': 0.93800499953072947}",30,0,-114.20071724314987,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
66,False,"{'a': 0.001, 'e': 0.93706746337740343}",20,0,-63.895687596474346,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.93613086429161885}",20,0,-55.00690997752828,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.93519520133677658}",20,0,-69.76279566781494,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.93426047357721353}",20,0,-101.57034197917675,"{0: 8, 1: 2, 2: 10, 3: 0, 4: 0}",0
70,False,"{'a': 0.001, 'e': 0.93332668007820196}",25,0,-185.5451140341421,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
71,False,"{'a': 0.001, 'e': 0.93239381990594827}",20,0,-54.79422663108973,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 0.001, 'e': 0.93146189212759212}",20,0,-98.09654932405823,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.001, 'e': 0.93053089581120574}",25,0,-207.53097850661226,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
74,False,"{'a': 0.001, 'e': 0.92960083002579275}",25,0,-106.87568951103835,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
75,False,"{'a': 0.001, 'e': 0.92867169384128723}",25,0,-86.38099024312454,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.001, 'e': 0.92774348632855286}",25,0,-199.6810413450282,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
77,False,"{'a': 0.001, 'e': 0.92681620655938224}",25,12,-45.22132159568016,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.001, 'e': 0.92588985360649534}",20,2,-140.554459831558,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 2}",1
79,False,"{'a': 0.001, 'e': 0.92496442654353928}",20,0,-107.60237945789015,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
80,False,"{'a': 0.001, 'e': 0.92403992444508676}",25,0,-80.99701737938292,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
81,False,"{'a': 0.001, 'e': 0.92311634638663576}",30,0,-211.29644710182956,"{0: 15, 1: 7, 2: 3, 3: 2, 4: 3}",0
82,False,"{'a': 0.001, 'e': 0.92219369144460805}",20,0,-154.45154686144136,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",30,0,-86.24381590319652,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
84,False,"{'a': 0.001, 'e': 0.92035114722012468}",20,0,-136.86279639335,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
85,False,"{'a': 0.001, 'e': 0.91943125609512466}",20,0,-129.33256879241608,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
