trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-106.02650316412969,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-30.18799554324259,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-100.8284364608981,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-117.77820169751195,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-128.50421832257845,"{0: 13, 1: 0, 2: 2, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-81.11221439957065,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,4,-185.3027007211888,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-18.083296457687958,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-98.7582889582731,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-126.50546963868068,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-66.10736081238878,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-137.1888380977757,"{0: 16, 1: 2, 2: 10, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-102.95638862770653,"{0: 9, 1: 6, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-139.26317320998913,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,6,-140.2216666184709,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-90.22020457245146,"{0: 24, 1: 3, 2: 5, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-123.75707239059996,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-57.792013179232306,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-222.55544477308308,"{0: 9, 1: 2, 2: 2, 3: 4, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-97.82418506013627,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.6741998502574,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-233.5707694698523,"{0: 13, 1: 3, 2: 9, 3: 3, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,13,10.363769627666008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-181.7488636294769,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-76.54915226722659,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-133.9349732263655,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.82639883005938,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,12,-64.13600601432468,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,2,-150.46506531510488,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 2}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,5,-79.30482418012667,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
