trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",25,0,-219.9513030907022,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.001, 'e': 0.99900049983337502}",20,0,-76.43285339305585,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.99800199866733308}",20,0,-84.63082192761115,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-106.62092368248585,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.99600798934399148}",25,0,-85.27339241975343,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.001, 'e': 0.99501247919268232}",30,0,-123.25631065902247,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.99401796405393528}",30,0,-140.38054752749986,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.99302444293323511}",30,0,-98.54598773675193,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.99203191483706066}",20,0,-81.91572587648886,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.99104037877288365}",25,0,-56.586129374245594,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.99004983374916811}",25,2,-54.72415045064299,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.001, 'e': 0.98906027877536873}",30,0,-46.95903873464059,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.001, 'e': 0.98807171286193052}",20,0,-46.12024476606946,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.98708413502028758}",25,0,-198.1573760015968,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.001, 'e': 0.98609754426286189}",25,0,-79.85690330289316,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.98511193960306265}",25,0,-175.12971777573296,"{0: 10, 1: 3, 2: 9, 3: 2, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.98412732005528514}",30,0,-195.01105063469734,"{0: 18, 1: 5, 2: 1, 3: 3, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.98314368463490964}",20,0,-148.01159062528956,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.98216103235830077}",20,0,-130.11187450264043,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-135.07707872945434,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.001, 'e': 0.98019867330675525}",25,0,-128.70580529218168,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.97921896456945956}",30,0,-164.98660226919458,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121005}",25,0,-164.1309425399838,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
24,False,"{'a': 0.001, 'e': 0.97726248377327707}",25,0,-165.04601852844414,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.001, 'e': 0.97628570975790929}",20,0,-84.3877152746719,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.97530991202833262}",25,0,-205.34309495687864,"{0: 8, 1: 6, 2: 7, 3: 2, 4: 2}",0
27,False,"{'a': 0.001, 'e': 0.97433508960874937}",30,0,-133.33443568013618,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.97336124152433678}",20,0,-71.67963764659402,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.001, 'e': 0.97238836680124685}",30,0,-173.03433897383138,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
30,False,"{'a': 0.001, 'e': 0.97141646446660479}",20,0,-142.65890747536014,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.97044553354850815}",20,14,-12.844841371310402,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.001, 'e': 0.96947557307602594}",30,0,-162.83350100244695,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
