trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.81397228098798,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.16081272417708,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-286.8295308135816,"{0: 12, 1: 4, 2: 8, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.12204305559975,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,8,-65.34485837530626,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.87024030888583,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-269.9073583789205,"{0: 16, 1: 4, 2: 9, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.12000399520697,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.58052399411343,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.87181046135685,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.91322835436094,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.47384172144536,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,5,-54.50046550978458,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.8411186459891,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.51692934127654,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.83971168799417,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.871369545965,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.44730665219,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.13190840180548,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.8093673815676,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-262.4444935894066,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-230.0124449042127,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.28428682821678,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.87510821212095,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.8482937824013,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-140.01962101012782,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.65721349098658,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.51902296263673,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.4495257303605,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.51217189884315,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
