trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-94.6221209535729,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-128.21069820319872,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-254.70120976715128,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-131.74173052783541,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-93.00709435431949,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-41.750528432763275,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-63.26906553745472,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-121.92610853259427,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-63.78213040938266,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-73.00014174560167,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-109.99405719832006,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-61.4916785455635,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-61.74598403598615,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-53.75252219477137,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,23,-3.716093740360861,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,18,13.59693972168042,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,7,-39.203202184419524,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-55.582011279334075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-74.78246062339288,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-65.37645942539518,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.22849219262717,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-69.90378975266806,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,7.612057140838335,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.30711985867862,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,1,-40.95854088131176,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-20.600610220004317,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,5,6.242666420399489,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,21,-14.418325088473075,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,4.5043927771939805,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,18,-72.69624195120473,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
